pdb,execution_time
pdb8f2d_A_hinge_3_sigma1.0.pdb,0.363155
pdb8f2d_A_hinge_4_sigma1.0.pdb,0.321982
pdb8f2d_A_hinge_2_sigma1.5.pdb,0.144627
pdb8f2d_A_hinge_8_sigma1.0.pdb,0.334766
pdb8f2d_A_hinge_0_sigma0.5.pdb,0.571568
pdb8f2d_A_hinge_0_sigma1.0.pdb,0.385151
pdb8f2d_A_hinge_6_sigma0.5.pdb,0.540046
pdb6jmh_A_hinge_8_sigma1.5.pdb,0.823291
pdb6jmh_A_hinge_0_sigma1.0.pdb,1.642997
pdb6jmh_A_hinge_1_sigma1.5.pdb,0.752348
pdb6jmh_A_hinge_4_sigma0.5.pdb,2.449654
pdb6jmh_A_hinge_8_sigma1.0.pdb,1.567155
pdb6jmh_A_hinge_9_sigma1.0.pdb,1.584041
pdb6jmh_A_hinge_0_sigma1.5.pdb,1.00356
pdb6jmh_A_hinge_2_sigma0.5.pdb,2.433997
pdb6jmh_A_hinge_2_sigma1.0.pdb,1.694042
pdb6jmh_A_hinge_0_sigma0.5.pdb,2.501883
pdb6jmh_A_hinge_10_sigma1.0.pdb,1.629831
pdb6jmh_A_hinge_4_sigma1.0.pdb,1.531398
pdb6jmh_A_hinge_7_sigma0.5.pdb,2.360189
pdb6jmh_A_hinge_10_sigma0.5.pdb,2.271712
pdb6jmh_A_hinge_4_sigma1.5.pdb,0.873659
pdb6jmh_A_hinge_3_sigma1.0.pdb,1.703823
pdb6jmh_A_hinge_9_sigma0.5.pdb,2.417283
pdb6jmh_A_hinge_2_sigma1.5.pdb,0.766668
pdb6jmh_A_hinge_6_sigma1.0.pdb,1.746391
pdb6jmh_A_hinge_7_sigma1.5.pdb,0.717121
pdb6jmh_A_hinge_9_sigma1.5.pdb,0.656089
pdb6jmh_A_hinge_1_sigma1.0.pdb,1.743294
pdb6jmh_A_hinge_10_sigma1.5.pdb,0.809168
pdb6jmh_A_hinge_6_sigma0.5.pdb,2.361812
pdb6jmh_A_hinge_5_sigma1.5.pdb,0.804104
pdb6jmh_A_hinge_3_sigma0.5.pdb,2.429271
pdb6jmh_A_hinge_5_sigma1.0.pdb,1.671491
pdb6jmh_A_hinge_7_sigma1.0.pdb,1.536441
pdb6jmh_A_hinge_5_sigma0.5.pdb,2.344008
